location,geom,latitude,longitude
"(30.0246799246461, -89.9967266596425)",,30.02467992,-89.99672666
"(30.0031536249835, -90.1086811372346)",,30.00315362,-90.10868114
"(29.9220330405114, -90.0864340125779)",,29.92203304,-90.08643401
"(29.9414414324309, -90.1049913954049)",,29.94144143,-90.1049914
"(30.0028506623979, -90.0779884427933)",,30.00285066,-90.07798844
"(29.9254459236624, -90.1082626291831)",,29.92544592,-90.10826263
"(29.9229858804434, -90.1171672981584)",,29.92298588,-90.1171673
"(29.9744448435971, -90.1148670242166)",,29.97444484,-90.11486702
"(29.9347545835825, -90.1178428365281)",,29.93475458,-90.11784284
"(30.0232628595116, -90.0702429013639)",,30.02326286,-90.0702429
"(29.9404333691384, -90.0185585600192)",,29.94043337,-90.01855856
"(29.9418113736797, -90.129469307885)",,29.94181137,-90.12946931
"(29.9330548713248, -90.1094124318713)",,29.93305487,-90.10941243
"(29.9353987181227, -90.1274939828081)",,29.93539872,-90.12749398
"(29.9775895287441, -90.0974665642164)",,29.97758953,-90.09746656
"(30.0227817727273, -90.0972963949289)",,30.02278177,-90.09729639
"(30.0346265547906, -89.9289349656112)",,30.03462655,-89.92893497
"(29.9248652090344, -90.0025956715659)",,29.92486521,-90.00259567
"(30.0107995623181, -90.0552622164649)",,30.01079956,-90.05526222
"(29.9959157926256, -90.0591478087909)",,29.99591579,-90.05914781
"(29.9259056328164, -89.9937348622923)",,29.92590563,-89.99373486
"(30.0154584161751, -90.0154446208798)",,30.01545842,-90.01544462
"(29.9820413618367, -90.049527587432)",,29.98204136,-90.04952759
"(29.9406366971899, -90.0784951968433)",,29.9406367,-90.0784952
"(29.9431197265061, -90.1310834830035)",,29.94311973,-90.13108348
"(29.9508769285394, -90.1102911491749)",,29.95087693,-90.11029115
"(29.9600039736051, -90.0904891926676)",,29.96000397,-90.09048919
"(30.0128032724318, -90.0586501721625)",,30.01280327,-90.05865017
"(29.9188987057912, -90.12677146342)",,29.91889871,-90.12677146
"(29.9296452266276, -90.0151215401753)",,29.92964523,-90.01512154
"(29.9755275415629, -90.0546642439791)",,29.97552754,-90.05466424
"(29.900987897985, -89.9973442666743)",,29.9009879,-89.99734427
"(29.9483324295298, -90.0419160409226)",,29.94833243,-90.04191604
"(29.9848278938001, -90.0537759242491)",,29.98482789,-90.05377592
"(29.9318297277571, -90.0111966950717)",,29.93182973,-90.0111967
"(30.0184118036236, -89.9813128952916)",,30.0184118,-89.9813129
"(30.0401766952015, -90.0034241653664)",,30.0401767,-90.00342417
